1927/28,"December 16, 1927",Detroit Cougars,"Gord Fraser
$5K cash",Chicago Blackhawks,Duke Keats
1927/28,"December 16, 1927",Pittsburgh Pirates,loan of Marty Burke for remainder of 1927-28 season,Montreal Canadiens,loan of Charlie Langlois for remainder of 1927-28 season
1927/28,"December 1, 1927",Toronto Maple Leafs,Eddie Rodden,Chicago Blackhawks,Chicago received Ty Arbour from Pittsburgh in 3-team trade
1927/28,"December 1, 1927",Toronto Maple Leafs,Toronto received Eddie Rodden from Chicago in 3-team trade,Pittsburgh Pirates,Bert McCaffrey
1927/28,"December 1, 1927",Pittsburgh Pirates,Pittsburgh received Bert McCaffrey from Toronto in 3-team trade,Chicago Blackhawks,Ty Arbour
1927/28,"November 5, 1927",Toronto Maple Leafs,cash,Pittsburgh Pirates,Art Duncan
1927/28,"October 26, 1927",Toronto Maple Leafs,Ed Gorman,Ottawa Senators,cash
1927/28,"October 17, 1927",New York Americans,Billy Boucher,Montreal Canadiens,cash
1927/28,"October 14, 1927",New York Americans,cash,New York Rangers,rights to Laurie Scott
1927/28,"October 10, 1927",Detroit Cougars,Stan Brown,New York Rangers,"Archie Briden
 Harry Meeking"
1927/28,"October 7, 1927",Montreal Maroons,Hooley Smith,Ottawa Senators,"Harry Punch Broadbent
$22.5K cash"
1927/28,"October 4, 1927",Detroit Cougars,Reg Noble,Montreal Maroons,$7 500 cash
1927/28,"October 1, 1927",Toronto St. Patricks,rights to Eric Pettinger,New York Rangers,rights to Harry Yip Foster
1927/28,"May 22, 1927",Boston Bruins,Carson Cooper,Montreal Canadiens,Billy Boucher
1927/28,"May 22, 1927",Detroit Cougars,Carson Cooper,Boston Bruins,cash
1927/28,"May 22, 1927",Detroit Cougars,Harry Meeking,Boston Bruins,Fred Gordon
1927/28,"May 16, 1927",Toronto Maple Leafs,Art Duncan,Detroit Cougars,Bill Brydge
1928/29,"April 15, 1929",Chicago Blackhawks,rights to Clarence Taffy Abel,New York Rangers,$15K cash
1928/29,"February 15, 1929",Pittsburgh Pirates,"Jesse Spring
loan of Edmond Bouchard for remainder of 1928-29 season",New York Americans,loan of Tex White for remainder of 1928-29 season
1928/29,"February 14, 1929",Montreal Maroons,George Boucher,Ottawa Senators,Joe Lamb
1928/29,"February 12, 1929",Toronto Maple Leafs,Baldy Cotton,Pittsburgh Pirates,"Gerry Lowrey
$9 500"
1928/29,"January 25, 1929",Toronto Maple Leafs,cash,Boston Bruins,Bill Carson
1928/29,"January 21, 1929",Boston Bruins,rights to Myles Lane,New York Rangers,$7.5K cash
1928/29,"January 10, 1929",Toronto Maple Leafs,"Eric Pettinger
rights to Hugh Plaxton",Boston Bruins,rights to George Owen
1928/29,"January 9, 1929",Montreal Canadiens,loan of Herb Gardiner,Chicago Blackhawks,loan of Art Lesieur for remainder of 1928-29 season
1928/29,"December 21, 1928",Boston Bruins,"Mickey MacKay
$12K cash",Pittsburgh Pirates,Frank Fredrickson
1928/29,"December 12, 1928",Montreal Maroons,cash,New York Rangers,Russell Oatman
1928/29,"November 13, 1928",Montreal Maroons,cash,Ottawa Senators,loan of Fred Elliott for 1928-29 season
1928/29,"November 1, 1928",Pittsburgh Pirates,"Joe Miller
$20K cash",New York Americans,Roy Worters
1928/29,"October 25, 1928",Boston Bruins,Cy Denneny,Ottawa Senators,cash
1928/29,"October 23, 1928",Montreal Maroons,cash,Detroit Red Wings,Bernie Brophy
1928/29,"October 18, 1928",Detroit Cougars,cash,Chicago Blackhawks,Clement Loughlin
1928/29,"October 18, 1928",Toronto Maple Leafs,"Lorne Chabot
$10K cash",New York Rangers,John Ross Roach
1928/29,"October 17, 1928",New York Americans,Babe Dye,Chicago Blackhawks,$15K cash
1928/29,"October 15, 1928",New York Americans,Charley McVeigh,Chicago Blackhawks,Alex McKinnon
1928/29,"October 15, 1928",New York Americans,Harry Punch Broadbent,Ottawa Senators,cash
1928/29,"October 14, 1928",Detroit Cougars,cash,New York Americans,Johnny Sheppard
1928/29,"October 1, 1928",Toronto Maple Leafs,George Horne,Montreal Maroons,Fred Elliott
1928/29,"September 30, 1928",Pittsburgh Pirates,Albert Toots Holway,Montreal Maroons,cash
1928/29,"September 1, 1928",Boston Bruins,rights to Frank Waite,New York Rangers,cash
1928/29,"September 1, 1928",Detroit Cougars,Bob Connors,New York Americans,cash
1928/29,"September 1, 1928",Pittsburgh Pirates,Mickey MacKay,Chicago Blackhawks,cash
1928/29,"August 27, 1928",Montreal Canadiens,unknown,Chicago Blackhawks,loan of Herb Gardiner
1928/29,"July 1, 1928",Detroit Cougars,cash,New York Americans,Johnny Sheppard
1928/29,"June 20, 1928",Toronto Maple Leafs,cash,Boston Bruins,Eddie Rodden
1928/29,"May 18, 1928",Boston Bruins,Red Green,New York Americans,Harry Connor
1929/30,"February 17, 1930",Boston Bruins,"Harry Yip Foster
$15K cash",New York Rangers,Bill Regan
1929/30,"February 6, 1930",New York Americans,cash,New York Rangers,rights to Leo Reise Sr.
1929/30,"January 31, 1930",Toronto Maple Leafs,Frank Nighbor,Ottawa Senators,"Danny Cox
cash"
1929/30,"January 30, 1930",Boston Bruins,Harry Connor,Ottawa Senators,Bill Hutton
1929/30,"December 23, 1929",Pittsburgh Pirates,Gord Fraser,Montreal Canadiens,Bert McCaffrey
1929/30,"December 21, 1929",Boston Bruins,cash,Ottawa Senators,Art Gagne
1929/30,"December 18, 1929",Toronto Maple Leafs,cash,New York Americans,loan of Ben Grant
1929/30,"November 22, 1929",Detroit Cougars,$5K cash,New York Americans,Bill Brydge
1929/30,"October 23, 1929",Toronto Maple Leafs,Cliff McBride,Montreal Maroons,cash
1929/30,"October 10, 1929",Detroit Cougars,cash,Montreal Canadiens,Gord Fraser
1929/30,"October 8, 1929",Pittsburgh Pirates,Archie Briden,New York Rangers,cash
1929/30,"September 30, 1929",Detroit Cougars,Hal Hicks,Montreal Maroons,$8K cash
1929/30,"September 1, 1929",Pittsburgh Pirates,cash,Montreal Maroons,Duke McCurry
1929/30,"May 13, 1929",Boston Bruins,Art Gagne,Montreal Canadiens,cash
1929/30,"May 13, 1929",Boston Bruins,George Patterson,Montreal Canadiens,cash
1929/30,"May 13, 1929",Boston Bruins,Herb Gardiner,Montreal Canadiens,cash
1930/31,"February 12, 1931",Boston Bruins,Ron Peaches Lyons,Philadelphia Quakers,cash
1930/31,"December 8, 1930",Boston Bruins,Harold Darragh,Philadelphia Quakers,"Bill Hutton
 Ron Peaches Lyons
cash"
1930/31,"December 7, 1930",New York Rangers,cash,Ottawa Senators,rights to Leo Bourgeault
1930/31,"November 6, 1930",Philadelphia Quakers,"Wally Kilrea
 Al Shields
loan of Syd Howe",Ottawa Senators,$35K cash
1930/31,"November 5, 1930",New York Americans,cash,Montreal Maroons,Lionel Conacher
1930/31,"October 16, 1930",Boston Bruins,Bill Hutton,Ottawa Senators,Harry Connor
1930/31,"October 10, 1930",Toronto Maple Leafs,King Clancy,Ottawa Senators,"Eric Pettinger
 Art Smith
$35K cash"
1930/31,"May 14, 1930",New York Americans,"Frank Carson
 Red Dutton
 Hap Emms
 Mike Neville",Montreal Maroons,$35K cash
1931/32,"April 13, 1932",Boston Bruins,Billy Burch,New York Americans,cash
1931/32,"February 8, 1932",Toronto Maple Leafs,Earl Miller,Chicago Blackhawks,cash
1931/32,"February 1, 1932",Boston Bruins,Ed Jeremiah,New York Americans,cash
1931/32,"December 29, 1931",Detroit Falcons,"Frank Carson
 Hap Emms",New York Americans,"Tom Filmore
 Bert McInenly"
1931/32,"October 27, 1931",Chicago Blackhawks,Gene Carrigan,New York Rangers,cash
1931/32,"October 19, 1931",Detroit Red Wings,Frank Peters,New York Rangers,cash
1931/32,"October 18, 1931",Detroit Falcons,Doug Young,New York Americans,Ron Martin
1931/32,"September 27, 1931",Chicago Blackhawks,Paul I. Thompson,New York Rangers,"Art Somers
 Vic Desjardins"
1931/32,"August 25, 1931",Boston Bruins,Joe Jerwa,New York Rangers,Norm Dutch Gainor
1931/32,"May 13, 1931",Boston Bruins,Bud Cook,Montreal Canadiens,cash
1932/33,"March 23, 1933",Montreal Canadiens,Marty Burke,Ottawa Senators,Nick Wasnie
1932/33,"February 14, 1933",Montreal Canadiens,"Leo Bourgeault
 Harold Starr",Ottawa Senators,"Marty Burke
future considerations (Nick Wasnie)"
1932/33,"February 12, 1933",Boston Bruins,Tom Filmore,New York Americans,Lloyd Klein
1932/33,"February 3, 1933",Montreal Maroons,Wally Kilrea,Ottawa Senators,Desse Roche
1932/33,"February 2, 1933",Montreal Maroons,cash,Ottawa Senators,Harvey Rockburn
1932/33,"January 25, 1933",Boston Bruins,Alex Smith,Ottawa Senators,future considerations (Earl Roche)
1932/33,"January 17, 1933",Boston Bruins,Vic Ripley,Chicago Blackhawks,Billy Burch
1932/33,"December 27, 1932",New York Americans,loan of Bill Regan for remainder of 1032-33 season,New York Rangers,cash
1932/33,"December 23, 1932",New York Rangers,cash,Ottawa Senators,rights to Norm Dutch Gainor
1932/33,"December 22, 1932",New York Americans,Wilf Starr,New York Rangers,cash
1932/33,"December 18, 1932",Montreal Maroons,Russ Blinco,New York Rangers,unknown
1932/33,"December 11, 1932",Detroit Red Wings,rights to Carl Voss,New York Rangers,$5 500 cash
1932/33,"December 9, 1932",Montreal Maroons,Reg Noble,Detroit Red Wings,John Gallagher
1932/33,"November 3, 1932",Toronto Arenas,Stew Adams,Chicago Blackhawks,cash
1932/33,"October 25, 1932",Detroit Red Wings,rights to John Ross Roach,New York Rangers,$11K cash
1932/33,"October 19, 1932",New York Americans,cash,Ottawa Senators,Bert McInenly
1932/33,"October 17, 1932",Boston Bruins,Frank Ingram,Chicago Blackhawks,cash
1932/33,"October 17, 1932",Boston Bruins,Nels Stewart,Montreal Maroons,cash
1932/33,"September 1, 1932",Detroit Red Wings,Sparky Vail,New York Rangers,Frank Peters
1932/33,"August 22, 1932",Boston Bruins,rights to Orville Obs Heximer,New York Rangers,$10K cash
1932/33,"July 25, 1932",Boston Bruins,"Joe Lamb
$7K cash",Ottawa Senators,Cooney Weiland
1932/33,"July 2, 1932",Montreal Maroons,cash,New York Rangers,Babe Siebert
1933/34,"April 11, 1934",Toronto Maple Leafs,cash,New York Rangers,Alex Levinsky
1933/34,"April 9, 1934",Montreal Canadiens,Albert Leduc,Ottawa Senators,cash
1933/34,"February 15, 1934",New York Rangers,loan of Albert Leduc for remainder of 1933-34 season,Ottawa Senators,cash
1933/34,"February 13, 1934",Boston Bruins,$2 500 cash,Detroit Red Wings,Lloyd Gross
1933/34,"January 11, 1934",Boston Bruins,"Lloyd Gross
 George Patterson",New York Americans,"Art Chapman
 Bob Gracie"
1933/34,"January 3, 1934",New York Americans,cash,New York Rangers,Duke Dukowski
1933/34,"January 2, 1934",Montreal Maroons,Stewart Evans,Detroit Red Wings,Ted Graham
1933/34,"January 2, 1934",Montreal Canadiens,cash,Detroit Red Wings,loan of Wilf Cude for balance of 1933-34 season
1933/34,"December 18, 1933",Boston Bruins,Babe Siebert,New York Rangers,"Roy Burmister
 Vic Ripley"
1933/34,"December 9, 1933",Toronto Maple Leafs,unknown,New York Americans,loan of Ben Grant
1933/34,"December 1, 1933",Detroit Red Wings,Ted Saunders,Ottawa Senators,cash
1933/34,"November 13, 1933",Toronto Maple Leafs,$6 500 cash,Detroit Red Wings,Fred Robertson
1933/34,"November 1, 1933",Montreal Maroons,Stew Adams,Toronto Arenas,Al Huggins
1933/34,"November 1, 1933",Boston Bruins,Bert McInenly,Ottawa Senators,cash
1933/34,"October 30, 1933",Detroit Red Wings,Sparky Vail,New York Rangers,Frank Peters
1933/34,"October 23, 1933",Detroit Red Wings,rights to Gord Pettinger,New York Rangers,cash
1933/34,"October 22, 1933",Montreal Canadiens,cash,Ottawa Senators,Albert Leduc
1933/34,"October 19, 1933",Philadelphia Quakers,cash,Montreal Canadiens,Wilf Cude
1933/34,"October 19, 1933",Detroit Red Wings,Gene Carrigan,Chicago Blackhawks,"Leroy Goldsworthy
 Frank Waite"
1933/34,"October 10, 1933",Montreal Canadiens,$3K cash,New York Rangers,rights to Jean Pusie
1933/34,"October 4, 1933",Toronto Maple Leafs,Hec Kilrea,Ottawa Senators,"Bob Gracie
$10K cash"
1933/34,"October 4, 1933",Boston Bruins,Bob Gracie,Ottawa Senators,"Bud Cook
 Percy Galbraith
 Ted Saunders"
1933/34,"October 1, 1933",Toronto Maple Leafs,George Hainsworth,Montreal Canadiens,Lorne Chabot
1933/34,"October 1, 1933",Montreal Maroons,Ted Graham,Chicago Blackhawks,Lionel Conacher
1933/34,"September 8, 1933",Boston Bruins,"Lloyd Gross
 George Patterson
 Johnny Sheppard",New York Americans,"Art Chapman
 Bob Gracie"
1933/34,"September 1, 1933",New York Americans,cash,Detroit Red Wings,Wilf Starr
1933/34,"July 1, 1933",Detroit Red Wings,Cooney Weiland,Ottawa Senators,Carl Voss
1933/34,"June 1, 1933",New York Americans,$6K cash,Montreal Maroons,Vern Ayres
1934/35,"February 13, 1935",Toronto Maple Leafs,Frank Finnigan,St. Louis Eagles,cash
1934/35,"February 11, 1935",St. Louis Eagles,"Ted Graham
$50K cash",Detroit Red Wings,"Ralph Bowman
 Syd Howe"
1934/35,"January 15, 1935",Chicago Blackhawks,Alex Levinsky,New York Rangers,cash
1934/35,"January 10, 1935",St. Louis Eagles,Frank Jerwa,Boston Bruins,Gerry Shannon
1934/35,"January 9, 1935",Boston Bruins,cash,Montreal Canadiens,Johnny Gagnon
1934/35,"December 28, 1934",Boston Bruins,Paul Haynes,Montreal Maroons,cash
1934/35,"December 25, 1934",New York Americans,cash,Montreal Maroons,Bob Gracie
1934/35,"December 23, 1934",Montreal Maroons,cash,New York Rangers,Harold Starr
1934/35,"December 18, 1934",Montreal Canadiens,Leroy Goldsworthy,Chicago Blackhawks,cash
1934/35,"December 14, 1934",Boston Bruins,Walter Jackson,New York Americans,"Hap Emms
 Orville Heximer"
1934/35,"December 14, 1934",Montreal Maroons,cash,New York Rangers,Dave Kerr
1934/35,"December 8, 1934",Boston Bruins,cash,Montreal Canadiens,Desse Roche
1934/35,"December 4, 1934",Boston Bruins,Joe Lamb,Montreal Canadiens,cash
1934/35,"December 4, 1934",St. Louis Eagles,Joe Lamb,Boston Bruins,"Max Kaminsky
 Desse Roche"
1934/35,"December 3, 1934",Boston Bruins,Jack Portland,Montreal Canadiens,"Tony Savage
$7 500 cash"
1934/35,"November 29, 1934",St. Louis Eagles,rights to Vic Ripley,New York Rangers,cash
1934/35,"November 28, 1934",St. Louis Eagles,George Patterson,Detroit Red Wings,"Mickey Blake
$3.5K cash"
1934/35,"November 18, 1934",Boston Bruins,Percy Jackson,New York Rangers,cash
1934/35,"November 5, 1934",Boston Bruins,Tony Savage,Montreal Canadiens,"Tom Filmore
cash"
1934/35,"November 2, 1934",Boston Bruins,cash,New York Americans,Harry Oliver
1934/35,"November 1, 1934",Boston Bruins,Jean Pusie,New York Rangers,Percy Jackson
1934/35,"October 28, 1934",Montreal Maroons,cash,Detroit Red Wings,Lorne Duguid
1934/35,"October 22, 1934",St. Louis Eagles,Burr Williams,Detroit Red Wings,Normie Smith
1934/35,"October 18, 1934",Boston Bruins,cash,New York Americans,Alex Smith
1934/35,"October 18, 1934",Boston Bruins,Art Giroux,Montreal Canadiens,cash
1934/35,"October 17, 1934",Montreal Canadiens,cash,Chicago Blackhawks,Leroy Goldsworthy
1934/35,"October 12, 1934",St. Louis Eagles,Mickey Blake,Montreal Maroons,cash
1934/35,"October 10, 1934",Boston Bruins,Gene Carrigan,Detroit Red Wings,George Patterson
1934/35,"October 3, 1934",Montreal Maroons,"Lionel Conacher
rights to Herb Cain",Montreal Canadiens,rights to Nels Crutchfield
1934/35,"October 3, 1934",Montreal Canadiens,"Lionel Conacher
 Leroy Goldsworthy
 Roger Jenkins",Chicago Blackhawks,"Marty Burke
 Lorne Chabot
 Howie Morenz"
1934/35,"October 2, 1934",Boston Bruins,Johnny Gagnon,Montreal Canadiens,Joe Lamb
1934/35,"October 2, 1934",St. Louis Eagles,future considerations (Glenn Brydson),Montreal Maroons,Alec Connell
1934/35,"October 1, 1934",Detroit Red Wings,rights to Ossie Asmundson,New York Rangers,cash
1934/35,"September 23, 1934",Montreal Maroons,Gus Marker,Detroit Red Wings,Wally Kilrea
1934/35,"September 20, 1934",Montreal Maroons,Al Shields,Ottawa Senators,"Irv Frew
future considerations (Vern Ayres and Normie Smith)"
1934/35,"May 12, 1934",Toronto Maple Leafs,cash,Boston Bruins,Charlie Sands
1934/35,"May 12, 1934",Toronto Maple Leafs,cash,Boston Bruins,loan of Jack Shill for 1934-35 season
1935/36,"February 8, 1936",Montreal Maroons,Lorne Chabot,Montreal Canadiens,"Hector Toe Blake
 Bill Miller
rights to Ken Grivel"
1935/36,"January 26, 1936",Chicago Blackhawks,Glenn Brydson,New York Rangers,Howie Morenz
1935/36,"January 15, 1936",Toronto Maple Leafs,$16K cash,Boston Bruins,Bill Flash Hollett
1935/36,"January 15, 1936",Chicago Blackhawks,Earl Seibert,New York Rangers,Art Coulter
1935/36,"December 29, 1935",Boston Bruins,Lorne Duguid,Detroit Red Wings,Gene Carrigan
1935/36,"December 28, 1935",Boston Bruins,Ray Getliffe,New York Rangers,cash
1935/36,"December 24, 1935",Boston Bruins,cash,Montreal Canadiens,Paul Runge
1935/36,"December 21, 1935",Montreal Canadiens,cash,Chicago Blackhawks,Wildor Larochelle
1935/36,"December 19, 1935",Boston Bruins,Ed Finnigan,New York Americans,cash
1935/36,"November 21, 1935",New York Americans,Ed Wiseman,Detroit Red Wings,"Fred Hergerts
$7.5K cash"
1935/36,"October 30, 1935",Montreal Maroons,rights to George Brown,New York Rangers,Eddie Wares
1935/36,"October 26, 1935",Montreal Maroons,$10K cash,New York Rangers,Sammy McManus
1935/36,"October 16, 1935",New York Americans,Carl Voss,Detroit Red Wings,Pete Kelly
1935/36,"October 16, 1935",Montreal Maroons,Bill Beveridge,Montreal Canadiens,cash
1935/36,"October 11, 1935",New York Americans,Tom Anderson,Detroit Red Wings,cash
1935/36,"October 9, 1935",Toronto Maple Leafs,cash,New York Americans,Baldy Cotton
1935/36,"September 30, 1935",Boston Bruins,Jack Riley,Montreal Canadiens,Paul Haynes
1935/36,"September 29, 1935",Toronto Maple Leafs,"$7K cash 
future considerations",Detroit Red Wings,Hec Kilrea
1935/36,"September 28, 1935",Boston Bruins,cash,New York Americans,"Joe Jerwa
 Nels Stewart"
1935/36,"July 13, 1935",Boston Bruins,Roger Jenkins,Montreal Canadiens,"Walt Buswell
 Jean Pusie
cash"
1935/36,"July 11, 1935",Boston Bruins,"Walt Buswell
 Cooney Weiland",Detroit Red Wings,"Marty Barry
 Art Giroux"
1936/37,"January 25, 1937",Boston Bruins,"Tom Cooper
future considerations (rights to Terry Reardon) 
loan of Al Shields",New York Americans,Joe Jerwa
1936/37,"December 29, 1936",Toronto Maple Leafs,loan of Bill Kendall,Chicago Blackhawks,loan of Regis Pep Kelly for remainder of 1936-37 season
1936/37,"December 19, 1936",Boston Bruins,cash,New York Americans,Nels Stewart
1936/37,"December 19, 1936",Boston Bruins,Walter Kalbfleish,New York Americans,Ted Graham
1936/37,"December 7, 1936",Boston Bruins,cash,Montreal Maroons,Max Kaminsky
1936/37,"December 3, 1936",Montreal Maroons,Paul Runge,Montreal Canadiens,Bill MacKenzie
1936/37,"November 29, 1936",New York Americans,cash,Detroit Red Wings,John Gallagher
1936/37,"October 26, 1936",Boston Bruins,Hooley Smith,Montreal Maroons,future considerations (Gerry Shannon)
1936/37,"October 22, 1936",New York Americans,Lorne Chabot,Montreal Maroons,cash
1936/37,"October 7, 1936",Montreal Maroons,Gerry Carson,Montreal Canadiens,rights to George Brown
1936/37,"October 7, 1936",New York Americans,John Gallagher,Detroit Red Wings,$6K cash
1936/37,"September 15, 1936",New York Americans,loan of Al Shields,Montreal Maroons,cash
1936/37,"September 10, 1936",Boston Bruins,"Leroy Goldsworthy
 Sammy McManus
$10K cash",Montreal Canadiens,"Roger Jenkins
 Babe Siebert"
1936/37,"September 10, 1936",Montreal Maroons,rights to Buddy O'Connor,Montreal Canadiens,Sammy McManus
1936/37,"September 10, 1936",Boston Bruins,Fred Bun Cook,New York Rangers,cash
1936/37,"September 6, 1936",New York Americans,"Joe Lamb
$10K cash",Montreal Maroons,Carl Voss
1936/37,"September 1, 1936",Montreal Canadiens,Howie Morenz,New York Rangers,cash
1936/37,"September 1, 1936",Montreal Maroons,Sammy McManus,New York Rangers,cash
1936/37,"May 7, 1936",Toronto Maple Leafs,cash,Chicago Blackhawks,Andy Blair
1936/37,"May 6, 1936",Toronto Maple Leafs,Turk Broda,Detroit Red Wings,$8K cash
1937/38,"January 26, 1938",New York Americans,cash,Chicago Blackhawks,Jack Shill
1937/38,"January 24, 1938",New York Americans,Red Beattie,Detroit Red Wings,Joe Lamb
1937/38,"January 17, 1938",Detroit Red Wings,Eddie Wares,New York Rangers,"$12.5K cash
loan of John Sherf for remainder of 1937-38 season"
1937/38,"January 9, 1938",New York Americans,Glenn Brydson,Chicago Blackhawks,cash
1937/38,"December 22, 1937",Boston Bruins,"Clarence Drouillard
cash",Detroit Red Wings,Alex Motter
1937/38,"December 19, 1937",Boston Bruins,Gord Pettinger,Detroit Red Wings,Red Beattie
1937/38,"December 10, 1937",Montreal Canadiens,Marty Burke,Chicago Blackhawks,Bill MacKenzie
1937/38,"November 5, 1937",Boston Bruins,cash,New York Americans,Hooley Smith
1937/38,"October 28, 1937",New York Americans,cash,Montreal Canadiens,Ossie Asmundson
1937/38,"October 17, 1937",Toronto Maple Leafs,rights to Wally Stanowski,New York Americans,Jack Shill
1937/38,"October 7, 1937",New York Americans,John Gallagher,Detroit Red Wings,$6K cash
1937/38,"October 7, 1937",New York Americans,Charlie Mason,New York Rangers,cash
1937/38,"September 23, 1937",Toronto Maple Leafs,"cash 
future considerations",Boston Bruins,Art Jackson
1937/38,"September 23, 1937",Toronto Maple Leafs,cash,New York Americans,Hap Day
